username,play_history,games_played,games_won,games_lost,win_rate,best_time,avg_time,longest_win_streak,longest_losing_streak,last_game_result,last_to_play
GEORGIE,"[324, 'Fail', 'Fail', 'Fail', 'Fail', 278, 'Fail', 'Fail', 'Fail']",9,2,7,22.2,278.0,301.0,1,4,Fail,No
MARK,"[789, 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 852, 497, 656]",10,4,6,40.0,497.0,698.5,3,6,656,No
NACHO,"[300, 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 110, 'Fail', 'Fail', 'Fail', 94, 73, 164, 'Fail', 'Fail', 137, 'Fail', 'Fail', 274, 'Fail', 161, 'Fail', 74, 89, 'Fail', 'Fail', 130, 'Fail', 132, 'Fail', 'Fail', 'Fail', 'Fail', 125.8, 86.2, 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 75.5, 103.0, 'Fail', 'Fail', 77.9, 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 93.8, 'Fail', 'Fail', 'Fail', 99.6, 'Fail', 'Fail']",65,19,46,29.2,73.0,126.3,3,13,Fail,Yes
JULIA,"['Fail', 'Fail', 'Fail', 'Fail', 586]",5,1,4,20.0,586.0,586.0,1,4,586,No
EDAWG,"['Fail', 'Fail', 'Fail', 150.4, 'Fail']",5,1,4,20.0,150.4,150.4,1,3,Fail,No
